NOTE  |Author: AnubiS
NOTE  |Attack: IceBowitchSM
NOTE  |*** Support TH13, TH14, TH15, TH16
NOTE  |CC : Log Launcher, Ground, Rage, Freeze
NOTE  |Siege : Log Launcher
NOTE  |Script works on "External Edges"             
      |                                              				                                                                     			  |
      |----------------------------------------------------------IceBowitchSM Starting----------------------------------------------------------------|
      |                                                                					                        		                              |
      |_TROOPNAME_|__FLEXIBLE_|____TH06___|____TH07___|____TH08___|____TH09___|____TH10___|____TH11___|____TH12___|____TH13___|____TH14___|___TH15____|
TRAIN |Bowl       |0          |0          |0          |0          |0          |0          |0          |0          |7          |7          |8          |
TRAIN |Witc       |0          |0          |0          |0          |0          |0          |0          |0          |7          |7          |8          |
TRAIN |IceG       |0          |0          |0          |0          |0          |0          |0          |0          |5          |5          |5          |
TRAIN |Arch       |0          |0          |0          |0          |0          |0          |0          |0          |3          |3          |5          |
TRAIN |SMine      |0          |0          |0          |0          |0          |0          |0          |0          |4          |4          |4          |
      |                                                                                                                       						  |
TRAIN |RSpell     |0          |0          |0          |0          |0          |0          |0          |0          |4          |4          |4          |
TRAIN |JSpell     |0          |0          |0          |0          |0          |0          |0          |0          |1          |1          |1          |
TRAIN |Haspell    |0          |0          |0          |0          |0          |0          |0          |0          |1          |1          |1          |
      |                                                                                                                                  			  |
TRAIN |LogL       |0          |0          |0          |0          |0          |0          |0          |0          |3          |3          |3          |
      |                                                                					                        		                              |
      |_TROOPNAME_|___________|____TH06___|____TH07___|____TH08___|____TH09___|____TH10___|____TH11___|____TH12___|____TH13___|____TH14___|___TH15____|
TRAIN |King       |0          |0          |0          |0          |0          |0          |0          |0          |312        |312        |312        |
TRAIN |Queen      |0          |0          |0          |0          |0          |0          |0          |0          |314        |314        |314        |
TRAIN |Warden     |0          |0          |0          |0          |0          |0          |0          |0          |37         |37         |37         |
TRAIN |Champion   |0          |0          |0          |0          |0          |0          |0          |0          |318        |318        |318        |
      |                                                                                                                                 			  |
      |_TROOPNAME_|___________|____TH06___|____TH07___|____TH08___|____TH09___|____TH10___|____TH11___|____TH12___|____TH13___|____TH14___|____TH15___|	  
WMODE |0	      |0          |0          |0          |0          |0          |0          |0          |0          |0          |0  	      |0       	  |
      |                                                                                                                                  			  |
      |___________|___________|____TH06___|____TH07___|____TH08___|____TH09___|____TH10___|____TH11___|____TH12___|____TH13___|____TH14___|____TH15___|
REDLN |0          |0          |0          |0          |0          |0          |0          |0          |0          |4          |4          |4          |
DRPLN |0          |0          |0          |0          |0          |0          |0          |0          |0          |0          |0          |0          |
      |                                                                                                                     						  |
      |___________|___________|____TH06___|____TH07___|____TH08___|____TH09___|____TH10___|____TH11___|____TH12___|____TH13___|____TH14___|____TH15___|
CCREQ |           |           |           |           |           |           |           |           |           |           |           |           |
CCSPL |RSpell	  |           |           |           |           |           |           |           |0          |1          |1          |1          |
CCSPL |FSpell     |           |           |           |           |           |           |           |0          |0          |1          |1          |
      |                                                                					                        		                              |
      |EXTR. GOLD |EXTR.ELIXIR|EXTR. DARK |DEPO. GOLD |DEPO.ELIXIR|DEPO. DARK |TOWNHALL   |FORCED SIDE|           |           |           |           |
SIDE  |0          |0          |0          |0          |0          |0          |10         |           |           |           |           |           |
      |EAGLE      |GEMBOX     |GEMBOX     |GEMBOX     |GEMBOX     |GEMBOX     |GEMBOX     |GEMBOX     |           |           |           |           |
SIDEB |5          |0          |0          |0          |0          |           |           |           |           |           |           |           |
      |                                                                					                        		                              |
      |VECTOR_____|SIDE_______|DROP_POINTS|ADDTILES___|VERSUS_____|RANDOMX_PX_|RANDOMY_PX_|BUILDING___|           |           |           |           |
MAKE  |A          |FRONT-RIGHT|10         |0          |INT-EXT    |0          |0          |           |           |           |           |           |
MAKE  |B          |FRONT-LEFT |10         |0          |INT-EXT    |0          |0          |           |           |           |           |           |
MAKE  |C          |FRONT-RIGHT|10         |-6         |INT-EXT    |0          |0          |           |           |           |           |           |
MAKE  |E          |FRONT-LEFT |10         |-6         |INT-EXT    |0          |0          |           |           |           |           |           |
MAKE  |F          |FRONT-LEFT |10         |-14        |INT-EXT    |0          |0          |           |           |           |           |           |
MAKE  |G          |FRONT-RIGHT|10         |-15        |INT-EXT    |0          |0          |           |           |           |           |           |
MAKE  |H          |FRONT-LEFT |10         |-15        |INT-EXT    |0          |0          |           |           |           |           |           |
